id,question,answer,topic,difficulty
326,Write a SQL query to retrieve all records from the students table.,SELECT * FROM students,SELECT,Easy
327,Write a SQL query to count the number of records in the books table.,SELECT COUNT(*) FROM books,AGGREGATE FUNCTIONS,Easy
328,Write a SQL query to select distinct values of book_id and author from books.,"SELECT DISTINCT book_id,author FROM books",SELECT,Hard
329,Write a SQL query to select all records from employees where salary != 39.,SELECT * FROM employees WHERE salary!=39,WHERE,Hard
330,Write a SQL query to find the avg for each sale_date in the sales table.,"SELECT sale_date,AVG(product_id) FROM sales GROUP BY sale_date",GROUP BY,Medium
331,Write a SQL query to calculate the average of course_id in the courses table.,SELECT AVG(course_id) FROM courses,AGGREGATE FUNCTIONS,Medium
332,Write a SQL query to retrieve all records from the courses table.,SELECT * FROM courses,SELECT,Easy
333,Write a SQL query to select all records from students where grade < 87.,SELECT * FROM students WHERE grade<87,WHERE,Medium
334,Write a SQL query to select the order_id and status columns from the orders table.,"SELECT order_id,status FROM orders",SELECT,Medium
335,Write a SQL query to perform a RIGHT JOIN between sales and products on the product_id column.,SELECT * FROM sales RIGHT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
336,Write a SQL query to calculate the average of dept_id in the departments table.,SELECT AVG(dept_id) FROM departments,AGGREGATE FUNCTIONS,Medium
337,Write a SQL query to count the number of records in the products table.,SELECT COUNT(*) FROM products,AGGREGATE FUNCTIONS,Easy
338,Write a SQL query to find the maximum value of status in the orders table.,SELECT MAX(status) FROM orders,AGGREGATE FUNCTIONS,Easy
339,Write a SQL query to perform a LEFT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders LEFT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
340,Write a SQL query to calculate the average of customer_id in the orders table.,SELECT AVG(customer_id) FROM orders,AGGREGATE FUNCTIONS,Medium
341,Write a SQL query to perform a RIGHT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees RIGHT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
342,Write a SQL query to find the max for each product_id in the products table.,"SELECT product_id,MAX(price) FROM products GROUP BY product_id",GROUP BY,Medium
343,Write a SQL query to retrieve all records from sales sorted by product_id in ascending order.,SELECT * FROM sales ORDER BY product_id ASC,ORDER BY,Easy
344,Write a SQL query to retrieve all records from customers sorted by email in ascending order.,SELECT * FROM customers ORDER BY email ASC,ORDER BY,Easy
345,Write a SQL query to count the number of records in the courses table.,SELECT COUNT(*) FROM courses,AGGREGATE FUNCTIONS,Easy
346,Write a SQL query to find the maximum value of title in the books table.,SELECT MAX(title) FROM books,AGGREGATE FUNCTIONS,Easy
347,Write a SQL query to select all records from sales where quantity = 30.,SELECT * FROM sales WHERE quantity=30,WHERE,Easy
348,Write a SQL query to perform a RIGHT JOIN between sales and products on the product_id column.,SELECT * FROM sales RIGHT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
349,Write a SQL query to select all records from customers where last_name > 88.,SELECT * FROM customers WHERE last_name>88,WHERE,Medium
350,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
351,Write a SQL query to retrieve all records from the orders table.,SELECT * FROM orders,SELECT,Easy
352,Write a SQL query to find the min for each product_id in the products table.,"SELECT product_id,MIN(product_name) FROM products GROUP BY product_id",GROUP BY,Medium
353,Write a SQL query to retrieve all records from the books table.,SELECT * FROM books,SELECT,Easy
354,Write a SQL query to count the number of records in the courses table.,SELECT COUNT(*) FROM courses,AGGREGATE FUNCTIONS,Easy
355,Write a SQL query to find the min for each quantity in the sales table.,"SELECT quantity,MIN(revenue) FROM sales GROUP BY quantity",GROUP BY,Medium
356,Write a SQL query to find the maximum value of revenue in the sales table.,SELECT MAX(revenue) FROM sales,AGGREGATE FUNCTIONS,Easy
357,Write a SQL query to find the maximum value of salary in the employees table.,SELECT MAX(salary) FROM employees,AGGREGATE FUNCTIONS,Easy
358,Write a SQL query to select all records from customers where last_name = 60.,SELECT * FROM customers WHERE last_name=60,WHERE,Easy
359,Write a SQL query to select the price and destination columns from the flights table.,"SELECT price,destination FROM flights",SELECT,Medium
360,Write a SQL query to select all records from books where book_id != 86.,SELECT * FROM books WHERE book_id!=86,WHERE,Hard
361,Write a SQL query to select all records from customers where email = 98.,SELECT * FROM customers WHERE email=98,WHERE,Easy
362,Write a SQL query to select all records from employees where salary >= 100.,SELECT * FROM employees WHERE salary>=100,WHERE,Hard
363,Write a SQL query to retrieve all records from the courses table.,SELECT * FROM courses,SELECT,Easy
364,Write a SQL query to retrieve all records from the courses table.,SELECT * FROM courses,SELECT,Easy
365,Write a SQL query to select all records from products where product_name = 79.,SELECT * FROM products WHERE product_name=79,WHERE,Easy
366,Write a SQL query to select distinct values of name and grade from students.,"SELECT DISTINCT name,grade FROM students",SELECT,Hard
367,Write a SQL query to select the book_id and publish_year columns from the books table.,"SELECT book_id,publish_year FROM books",SELECT,Medium
368,Write a SQL query to find the count for each genre in the books table.,"SELECT genre,COUNT(*) FROM books GROUP BY genre",GROUP BY,Easy
369,Write a SQL query to perform a RIGHT JOIN between students and courses on the course_id column.,SELECT * FROM students RIGHT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
370,Write a SQL query to find the avg for each course in the students table.,"SELECT course,AVG(grade) FROM students GROUP BY course",GROUP BY,Medium
371,Write a SQL query to find the max for each order_id in the orders table.,"SELECT order_id,MAX(total_amount) FROM orders GROUP BY order_id",GROUP BY,Medium
372,Write a SQL query to retrieve all records from the products table.,SELECT * FROM products,SELECT,Easy
373,Write a SQL query to retrieve all records from students sorted by course in descending order.,SELECT * FROM students ORDER BY course DESC,ORDER BY,Medium
374,Write a SQL query to find the minimum value of genre in the books table.,SELECT MIN(genre) FROM books,AGGREGATE FUNCTIONS,Easy
375,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
376,Write a SQL query to retrieve all records from flights sorted by flight_id in ascending order.,SELECT * FROM flights ORDER BY flight_id ASC,ORDER BY,Easy
377,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
378,Write a SQL query to count the number of records in the sales table.,SELECT COUNT(*) FROM sales,AGGREGATE FUNCTIONS,Easy
379,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
380,Write a SQL query to retrieve all records from departments sorted by dept_id in ascending order.,SELECT * FROM departments ORDER BY dept_id ASC,ORDER BY,Easy
381,Write a SQL query to find the min for each author in the books table.,"SELECT author,MIN(genre) FROM books GROUP BY author",GROUP BY,Medium
382,Write a SQL query to perform a RIGHT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees RIGHT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
383,Write a SQL query to select the budget and dept_id columns from the departments table.,"SELECT budget,dept_id FROM departments",SELECT,Medium
384,Write a SQL query to select all records from sales where sale_date = 4.,SELECT * FROM sales WHERE sale_date=4,WHERE,Easy
385,Write a SQL query to select all records from departments where manager != 92.,SELECT * FROM departments WHERE manager!=92,WHERE,Hard
386,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
387,Write a SQL query to select distinct values of instructor and course_id from courses.,"SELECT DISTINCT instructor,course_id FROM courses",SELECT,Hard
388,Write a SQL query to retrieve all records from courses sorted by course_name in descending order.,SELECT * FROM courses ORDER BY course_name DESC,ORDER BY,Medium
389,Write a SQL query to retrieve all records from customers sorted by city in descending order.,SELECT * FROM customers ORDER BY city DESC,ORDER BY,Medium
390,Write a SQL query to retrieve all records from products sorted by stock in descending order.,SELECT * FROM products ORDER BY stock DESC,ORDER BY,Medium
391,Write a SQL query to find the min for each emp_id in the employees table.,"SELECT emp_id,MIN(salary) FROM employees GROUP BY emp_id",GROUP BY,Medium
392,Write a SQL query to perform a RIGHT JOIN between students and courses on the course_id column.,SELECT * FROM students RIGHT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
393,Write a SQL query to select the city and last_name columns from the customers table.,"SELECT city,last_name FROM customers",SELECT,Medium
394,Write a SQL query to retrieve all records from books sorted by author in ascending order.,SELECT * FROM books ORDER BY author ASC,ORDER BY,Easy
395,Write a SQL query to retrieve all records from the courses table.,SELECT * FROM courses,SELECT,Easy
396,Write a SQL query to calculate the average of order_id in the orders table.,SELECT AVG(order_id) FROM orders,AGGREGATE FUNCTIONS,Medium
397,Write a SQL query to find the max for each author in the books table.,"SELECT author,MAX(author) FROM books GROUP BY author",GROUP BY,Medium
398,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
399,Write a SQL query to select all records from employees where salary = 96.,SELECT * FROM employees WHERE salary=96,WHERE,Easy
400,Write a SQL query to retrieve all records from books sorted by author in descending order.,SELECT * FROM books ORDER BY author DESC,ORDER BY,Medium
401,Write a SQL query to calculate the total sum of emp_name in the employees table.,SELECT SUM(emp_name) FROM employees,AGGREGATE FUNCTIONS,Medium
402,Write a SQL query to find the max for each location in the departments table.,"SELECT location,MAX(location) FROM departments GROUP BY location",GROUP BY,Medium
403,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
404,Write a SQL query to find the maximum value of sale_date in the sales table.,SELECT MAX(sale_date) FROM sales,AGGREGATE FUNCTIONS,Easy
405,Write a SQL query to find the count for each emp_id in the employees table.,"SELECT emp_id,COUNT(*) FROM employees GROUP BY emp_id",GROUP BY,Easy
406,Write a SQL query to select the student_id and age columns from the students table.,"SELECT student_id,age FROM students",SELECT,Medium
407,Write a SQL query to perform a RIGHT JOIN between sales and products on the product_id column.,SELECT * FROM sales RIGHT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
408,Write a SQL query to retrieve all records from the sales table.,SELECT * FROM sales,SELECT,Easy
409,Write a SQL query to find the avg for each category in the products table.,"SELECT category,AVG(product_id) FROM products GROUP BY category",GROUP BY,Medium
410,Write a SQL query to perform a LEFT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders LEFT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
411,Write a SQL query to select all records from departments where dept_id < 69.,SELECT * FROM departments WHERE dept_id<69,WHERE,Medium
412,Write a SQL query to select the product_id and stock columns from the products table.,"SELECT product_id,stock FROM products",SELECT,Medium
413,Write a SQL query to find the sum for each emp_id in the employees table.,"SELECT emp_id,SUM(department) FROM employees GROUP BY emp_id",GROUP BY,Medium
414,Write a SQL query to select the instructor and course_id columns from the courses table.,"SELECT instructor,course_id FROM courses",SELECT,Medium
415,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
416,Write a SQL query to retrieve all records from the students table.,SELECT * FROM students,SELECT,Easy
417,Write a SQL query to calculate the average of customer_id in the customers table.,SELECT AVG(customer_id) FROM customers,AGGREGATE FUNCTIONS,Medium
418,Write a SQL query to retrieve all records from the customers table.,SELECT * FROM customers,SELECT,Easy
419,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
420,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
421,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
422,Write a SQL query to select the email and last_name columns from the customers table.,"SELECT email,last_name FROM customers",SELECT,Medium
423,Write a SQL query to select distinct values of first_name and city from customers.,"SELECT DISTINCT first_name,city FROM customers",SELECT,Hard
424,Write a SQL query to find the min for each department in the employees table.,"SELECT department,MIN(salary) FROM employees GROUP BY department",GROUP BY,Medium
425,Write a SQL query to retrieve all records from the flights table.,SELECT * FROM flights,SELECT,Easy
426,Write a SQL query to retrieve all records from the orders table.,SELECT * FROM orders,SELECT,Easy
427,Write a SQL query to retrieve all records from customers sorted by first_name in ascending order.,SELECT * FROM customers ORDER BY first_name ASC,ORDER BY,Easy
428,Write a SQL query to retrieve all records from employees sorted by hire_date in ascending order.,SELECT * FROM employees ORDER BY hire_date ASC,ORDER BY,Easy
429,Write a SQL query to find the count for each dept_name in the departments table.,"SELECT dept_name,COUNT(*) FROM departments GROUP BY dept_name",GROUP BY,Easy
430,Write a SQL query to retrieve all records from the courses table.,SELECT * FROM courses,SELECT,Easy
431,Write a SQL query to perform a LEFT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees LEFT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
432,Write a SQL query to find the max for each department in the courses table.,"SELECT department,MAX(course_name) FROM courses GROUP BY department",GROUP BY,Medium
433,Write a SQL query to find the avg for each last_name in the customers table.,"SELECT last_name,AVG(email) FROM customers GROUP BY last_name",GROUP BY,Medium
434,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
435,Write a SQL query to find the maximum value of student_id in the students table.,SELECT MAX(student_id) FROM students,AGGREGATE FUNCTIONS,Easy
436,Write a SQL query to find the maximum value of stock in the products table.,SELECT MAX(stock) FROM products,AGGREGATE FUNCTIONS,Easy
437,Write a SQL query to find the minimum value of author in the books table.,SELECT MIN(author) FROM books,AGGREGATE FUNCTIONS,Easy
438,Write a SQL query to select all records from flights where origin >= 15.,SELECT * FROM flights WHERE origin>=15,WHERE,Hard
439,Write a SQL query to retrieve all records from the orders table.,SELECT * FROM orders,SELECT,Easy
440,Write a SQL query to find the avg for each title in the books table.,"SELECT title,AVG(genre) FROM books GROUP BY title",GROUP BY,Medium
441,Write a SQL query to select all records from orders where total_amount <= 46.,SELECT * FROM orders WHERE total_amount<=46,WHERE,Hard
442,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
443,Write a SQL query to select all records from products where product_id != 4.,SELECT * FROM products WHERE product_id!=4,WHERE,Hard
444,Write a SQL query to find the minimum value of publish_year in the books table.,SELECT MIN(publish_year) FROM books,AGGREGATE FUNCTIONS,Easy
445,Write a SQL query to find the min for each quantity in the sales table.,"SELECT quantity,MIN(sale_id) FROM sales GROUP BY quantity",GROUP BY,Medium
446,Write a SQL query to select all records from students where name > 97.,SELECT * FROM students WHERE name>97,WHERE,Medium
447,Write a SQL query to select all records from sales where sale_date <= 98.,SELECT * FROM sales WHERE sale_date<=98,WHERE,Hard
448,Write a SQL query to retrieve all records from courses sorted by department in descending order.,SELECT * FROM courses ORDER BY department DESC,ORDER BY,Medium
449,Write a SQL query to find the count for each emp_name in the employees table.,"SELECT emp_name,COUNT(*) FROM employees GROUP BY emp_name",GROUP BY,Easy
450,Write a SQL query to retrieve all records from the courses table.,SELECT * FROM courses,SELECT,Easy
451,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
452,Write a SQL query to retrieve all records from the flights table.,SELECT * FROM flights,SELECT,Easy
453,Write a SQL query to perform a RIGHT JOIN between sales and products on the product_id column.,SELECT * FROM sales RIGHT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
454,Write a SQL query to perform a LEFT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees LEFT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
455,Write a SQL query to retrieve all records from products sorted by category in descending order.,SELECT * FROM products ORDER BY category DESC,ORDER BY,Medium
456,Write a SQL query to retrieve all records from the products table.,SELECT * FROM products,SELECT,Easy
457,Write a SQL query to perform a RIGHT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees RIGHT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
458,Write a SQL query to retrieve all records from departments sorted by dept_name in ascending order.,SELECT * FROM departments ORDER BY dept_name ASC,ORDER BY,Easy
459,Write a SQL query to retrieve all records from employees sorted by emp_id in ascending order.,SELECT * FROM employees ORDER BY emp_id ASC,ORDER BY,Easy
460,Write a SQL query to find the avg for each city in the customers table.,"SELECT city,AVG(customer_id) FROM customers GROUP BY city",GROUP BY,Medium
461,Write a SQL query to retrieve all records from the orders table.,SELECT * FROM orders,SELECT,Easy
462,Write a SQL query to retrieve all records from the customers table.,SELECT * FROM customers,SELECT,Easy
463,Write a SQL query to find the max for each genre in the books table.,"SELECT genre,MAX(author) FROM books GROUP BY genre",GROUP BY,Medium
464,Write a SQL query to retrieve all records from the orders table.,SELECT * FROM orders,SELECT,Easy
465,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
466,Write a SQL query to select all records from sales where sale_date <= 67.,SELECT * FROM sales WHERE sale_date<=67,WHERE,Hard
467,Write a SQL query to retrieve all records from customers sorted by customer_id in ascending order.,SELECT * FROM customers ORDER BY customer_id ASC,ORDER BY,Easy
468,Write a SQL query to retrieve all records from flights sorted by flight_id in descending order.,SELECT * FROM flights ORDER BY flight_id DESC,ORDER BY,Medium
469,Write a SQL query to calculate the average of category in the products table.,SELECT AVG(category) FROM products,AGGREGATE FUNCTIONS,Medium
470,Write a SQL query to select all records from departments where budget != 77.,SELECT * FROM departments WHERE budget!=77,WHERE,Hard
471,Write a SQL query to retrieve all records from customers sorted by city in ascending order.,SELECT * FROM customers ORDER BY city ASC,ORDER BY,Easy
472,Write a SQL query to select the budget and dept_name columns from the departments table.,"SELECT budget,dept_name FROM departments",SELECT,Medium
473,Write a SQL query to retrieve all records from employees sorted by department in ascending order.,SELECT * FROM employees ORDER BY department ASC,ORDER BY,Easy
474,Write a SQL query to find the avg for each customer_id in the customers table.,"SELECT customer_id,AVG(first_name) FROM customers GROUP BY customer_id",GROUP BY,Medium
475,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
476,Write a SQL query to find the count for each grade in the students table.,"SELECT grade,COUNT(*) FROM students GROUP BY grade",GROUP BY,Easy
477,Write a SQL query to find the min for each status in the orders table.,"SELECT status,MIN(status) FROM orders GROUP BY status",GROUP BY,Medium
478,Write a SQL query to retrieve all records from sales sorted by product_id in descending order.,SELECT * FROM sales ORDER BY product_id DESC,ORDER BY,Medium
479,Write a SQL query to select all records from orders where order_id <= 27.,SELECT * FROM orders WHERE order_id<=27,WHERE,Hard
480,Write a SQL query to find the minimum value of publish_year in the books table.,SELECT MIN(publish_year) FROM books,AGGREGATE FUNCTIONS,Easy
481,Write a SQL query to calculate the total sum of origin in the flights table.,SELECT SUM(origin) FROM flights,AGGREGATE FUNCTIONS,Medium
482,Write a SQL query to retrieve all records from customers sorted by city in descending order.,SELECT * FROM customers ORDER BY city DESC,ORDER BY,Medium
483,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
484,Write a SQL query to retrieve all records from courses sorted by course_name in descending order.,SELECT * FROM courses ORDER BY course_name DESC,ORDER BY,Medium
485,Write a SQL query to perform a RIGHT JOIN between students and courses on the course_id column.,SELECT * FROM students RIGHT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
486,Write a SQL query to select all records from products where product_id <= 82.,SELECT * FROM products WHERE product_id<=82,WHERE,Hard
487,Write a SQL query to find the max for each email in the customers table.,"SELECT email,MAX(customer_id) FROM customers GROUP BY email",GROUP BY,Medium
488,Write a SQL query to select all records from departments where budget <= 71.,SELECT * FROM departments WHERE budget<=71,WHERE,Hard
489,Write a SQL query to retrieve all records from students sorted by age in ascending order.,SELECT * FROM students ORDER BY age ASC,ORDER BY,Easy
490,Write a SQL query to find the min for each hire_date in the employees table.,"SELECT hire_date,MIN(hire_date) FROM employees GROUP BY hire_date",GROUP BY,Medium
491,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
492,Write a SQL query to calculate the average of budget in the departments table.,SELECT AVG(budget) FROM departments,AGGREGATE FUNCTIONS,Medium
493,Write a SQL query to select all records from employees where emp_name != 88.,SELECT * FROM employees WHERE emp_name!=88,WHERE,Hard
494,Write a SQL query to select distinct values of location and dept_id from departments.,"SELECT DISTINCT location,dept_id FROM departments",SELECT,Hard
495,Write a SQL query to select all records from sales where quantity != 76.,SELECT * FROM sales WHERE quantity!=76,WHERE,Hard
496,Write a SQL query to calculate the total sum of hire_date in the employees table.,SELECT SUM(hire_date) FROM employees,AGGREGATE FUNCTIONS,Medium
497,Write a SQL query to count the number of records in the employees table.,SELECT COUNT(*) FROM employees,AGGREGATE FUNCTIONS,Easy
498,Write a SQL query to find the avg for each course_id in the courses table.,"SELECT course_id,AVG(instructor) FROM courses GROUP BY course_id",GROUP BY,Medium
499,Write a SQL query to retrieve all records from courses sorted by course_id in descending order.,SELECT * FROM courses ORDER BY course_id DESC,ORDER BY,Medium
500,Write a SQL query to find the sum for each total_amount in the orders table.,"SELECT total_amount,SUM(order_id) FROM orders GROUP BY total_amount",GROUP BY,Medium
501,Write a SQL query to retrieve all records from products sorted by stock in ascending order.,SELECT * FROM products ORDER BY stock ASC,ORDER BY,Easy
502,Write a SQL query to perform a LEFT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees LEFT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
503,Write a SQL query to calculate the average of instructor in the courses table.,SELECT AVG(instructor) FROM courses,AGGREGATE FUNCTIONS,Medium
504,Write a SQL query to find the minimum value of department in the employees table.,SELECT MIN(department) FROM employees,AGGREGATE FUNCTIONS,Easy
505,Write a SQL query to find the sum for each grade in the students table.,"SELECT grade,SUM(name) FROM students GROUP BY grade",GROUP BY,Medium
506,Write a SQL query to perform a LEFT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders LEFT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
507,Write a SQL query to find the max for each budget in the departments table.,"SELECT budget,MAX(budget) FROM departments GROUP BY budget",GROUP BY,Medium
508,Write a SQL query to retrieve all records from courses sorted by department in ascending order.,SELECT * FROM courses ORDER BY department ASC,ORDER BY,Easy
509,Write a SQL query to select all records from products where price <= 84.,SELECT * FROM products WHERE price<=84,WHERE,Hard
510,Write a SQL query to calculate the total sum of last_name in the customers table.,SELECT SUM(last_name) FROM customers,AGGREGATE FUNCTIONS,Medium
511,Write a SQL query to select all records from flights where origin > 43.,SELECT * FROM flights WHERE origin>43,WHERE,Medium
512,Write a SQL query to retrieve all records from the students table.,SELECT * FROM students,SELECT,Easy
513,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
514,Write a SQL query to select the price and product_name columns from the products table.,"SELECT price,product_name FROM products",SELECT,Medium
515,Write a SQL query to find the avg for each customer_id in the customers table.,"SELECT customer_id,AVG(city) FROM customers GROUP BY customer_id",GROUP BY,Medium
516,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
517,Write a SQL query to find the sum for each dept_name in the departments table.,"SELECT dept_name,SUM(budget) FROM departments GROUP BY dept_name",GROUP BY,Medium
518,Write a SQL query to retrieve all records from sales sorted by quantity in descending order.,SELECT * FROM sales ORDER BY quantity DESC,ORDER BY,Medium
519,Write a SQL query to find the max for each course in the students table.,"SELECT course,MAX(name) FROM students GROUP BY course",GROUP BY,Medium
520,Write a SQL query to select distinct values of credits and course_id from courses.,"SELECT DISTINCT credits,course_id FROM courses",SELECT,Hard
521,Write a SQL query to select distinct values of customer_id and total_amount from orders.,"SELECT DISTINCT customer_id,total_amount FROM orders",SELECT,Hard
522,Write a SQL query to select the course_id and credits columns from the courses table.,"SELECT course_id,credits FROM courses",SELECT,Medium
523,Write a SQL query to calculate the average of credits in the courses table.,SELECT AVG(credits) FROM courses,AGGREGATE FUNCTIONS,Medium
524,Write a SQL query to select all records from departments where dept_id > 15.,SELECT * FROM departments WHERE dept_id>15,WHERE,Medium
525,Write a SQL query to retrieve all records from orders sorted by status in descending order.,SELECT * FROM orders ORDER BY status DESC,ORDER BY,Medium
526,Write a SQL query to retrieve all records from the flights table.,SELECT * FROM flights,SELECT,Easy
527,Write a SQL query to retrieve all records from employees sorted by emp_name in ascending order.,SELECT * FROM employees ORDER BY emp_name ASC,ORDER BY,Easy
528,Write a SQL query to retrieve all records from the employees table.,SELECT * FROM employees,SELECT,Easy
529,Write a SQL query to select all records from departments where dept_id > 6.,SELECT * FROM departments WHERE dept_id>6,WHERE,Medium
530,Write a SQL query to select all records from sales where product_id = 45.,SELECT * FROM sales WHERE product_id=45,WHERE,Easy
531,Write a SQL query to calculate the average of airline in the flights table.,SELECT AVG(airline) FROM flights,AGGREGATE FUNCTIONS,Medium
532,Write a SQL query to select the revenue and quantity columns from the sales table.,"SELECT revenue,quantity FROM sales",SELECT,Medium
533,Write a SQL query to retrieve all records from courses sorted by department in descending order.,SELECT * FROM courses ORDER BY department DESC,ORDER BY,Medium
534,Write a SQL query to find the maximum value of student_id in the students table.,SELECT MAX(student_id) FROM students,AGGREGATE FUNCTIONS,Easy
535,Write a SQL query to retrieve all records from departments sorted by location in descending order.,SELECT * FROM departments ORDER BY location DESC,ORDER BY,Medium
536,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
537,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
538,Write a SQL query to select the customer_id and email columns from the customers table.,"SELECT customer_id,email FROM customers",SELECT,Medium
539,Write a SQL query to select the author and genre columns from the books table.,"SELECT author,genre FROM books",SELECT,Medium
540,Write a SQL query to retrieve all records from flights sorted by flight_id in ascending order.,SELECT * FROM flights ORDER BY flight_id ASC,ORDER BY,Easy
541,Write a SQL query to retrieve all records from customers sorted by first_name in descending order.,SELECT * FROM customers ORDER BY first_name DESC,ORDER BY,Medium
542,Write a SQL query to perform a RIGHT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees RIGHT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
543,Write a SQL query to find the maximum value of salary in the employees table.,SELECT MAX(salary) FROM employees,AGGREGATE FUNCTIONS,Easy
544,Write a SQL query to retrieve all records from orders sorted by order_id in ascending order.,SELECT * FROM orders ORDER BY order_id ASC,ORDER BY,Easy
545,Write a SQL query to select all records from flights where destination = 23.,SELECT * FROM flights WHERE destination=23,WHERE,Easy
546,Write a SQL query to retrieve all records from students sorted by name in descending order.,SELECT * FROM students ORDER BY name DESC,ORDER BY,Medium
547,Write a SQL query to find the avg for each book_id in the books table.,"SELECT book_id,AVG(author) FROM books GROUP BY book_id",GROUP BY,Medium
548,Write a SQL query to retrieve all records from orders sorted by status in descending order.,SELECT * FROM orders ORDER BY status DESC,ORDER BY,Medium
549,Write a SQL query to select all records from courses where instructor > 29.,SELECT * FROM courses WHERE instructor>29,WHERE,Medium
550,Write a SQL query to retrieve all records from orders sorted by order_date in ascending order.,SELECT * FROM orders ORDER BY order_date ASC,ORDER BY,Easy
551,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
